"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Delaware"	"10"	"2003"	"2003"	19	818003	Unreliable
	"Delaware"	"10"	"2004"	"2004"	27	830803	3.2
	"Delaware"	"10"	"2005"	"2005"	21	845150	2.5
	"Delaware"	"10"	"2006"	"2006"	39	859268	4.5
	"Delaware"	"10"	"2007"	"2007"	23	871749	2.6
	"Delaware"	"10"	"2008"	"2008"	44	883874	5.0
	"Delaware"	"10"	"2009"	"2009"	38	891730	4.3
	"Delaware"	"10"	"2010"	"2010"	64	897934	7.1
	"Delaware"	"10"	"2011"	"2011"	58	907135	6.4
	"Delaware"	"10"	"2012"	"2012"	52	917092	5.7
	"Delaware"	"10"	"2013"	"2013"	67	925749	7.2
	"Delaware"	"10"	"2014"	"2014"	86	935614	9.2
	"Delaware"	"10"	"2015"	"2015"	109	945934	11.5
	"Delaware"	"10"	"2016"	"2016"	127	952065	13.3
	"Delaware"	"10"	"2017"	"2017"	231	961939	24.0
	"Delaware"	"10"	"2018"	"2018"	278	967171	28.7
	"District of Columbia"	"11"	"1999"	"1999"	40	570213	7.0
	"District of Columbia"	"11"	"2000"	"2000"	63	572059	11.0
	"District of Columbia"	"11"	"2001"	"2001"	75	574504	13.1
	"District of Columbia"	"11"	"2002"	"2002"	49	573158	8.5
	"District of Columbia"	"11"	"2003"	"2003"	79	568502	13.9
	"District of Columbia"	"11"	"2004"	"2004"	60	567754	10.6
	"District of Columbia"	"11"	"2005"	"2005"	44	567136	7.8
	"District of Columbia"	"11"	"2006"	"2006"	75	570681	13.1
	"District of Columbia"	"11"	"2007"	"2007"	32	574404	5.6
	"District of Columbia"	"11"	"2008"	"2008"	30	580236	5.2
	"District of Columbia"	"11"	"2009"	"2009"	10	592228	Unreliable
	"District of Columbia"	"11"	"2010"	"2010"	49	601723	8.1
	"District of Columbia"	"11"	"2011"	"2011"	42	617996	6.8
	"District of Columbia"	"11"	"2012"	"2012"	44	632323	7.0
	"District of Columbia"	"11"	"2013"	"2013"	57	646449	8.8
	"District of Columbia"	"11"	"2014"	"2014"	49	658893	7.4
	"District of Columbia"	"11"	"2015"	"2015"	92	672228	13.7
	"District of Columbia"	"11"	"2016"	"2016"	163	681170	23.9
	"District of Columbia"	"11"	"2017"	"2017"	192	693972	27.7
	"District of Columbia"	"11"	"2018"	"2018"	158	702455	22.5
	"Florida"	"12"	"1999"	"1999"	317	15759421	2.0
	"Florida"	"12"	"2000"	"2000"	411	15982378	2.6
	"Florida"	"12"	"2001"	"2001"	615	16356966	3.8
	"Florida"	"12"	"2002"	"2002"	728	16689370	4.4
	"Florida"	"12"	"2003"	"2003"	901	17004085	5.3
	"Florida"	"12"	"2004"	"2004"	839	17415318	4.8
	"Florida"	"12"	"2005"	"2005"	843	17842038	4.7
	"Florida"	"12"	"2006"	"2006"	921	18166990	5.1
	"Florida"	"12"	"2007"	"2007"	999	18367842	5.4
	"Florida"	"12"	"2008"	"2008"	861	18527305	4.6
	"Florida"	"12"	"2009"	"2009"	920	18652644	4.9
	"Florida"	"12"	"2010"	"2010"	895	18801310	4.8
	"Florida"	"12"	"2011"	"2011"	821	19057542	4.3
	"Florida"	"12"	"2012"	"2012"	764	19317568	4.0
	"Florida"	"12"	"2013"	"2013"	813	19552860	4.2
	"Florida"	"12"	"2014"	"2014"	948	19893297	4.8
	"Florida"	"12"	"2015"	"2015"	1293	20271272	6.4
	"Florida"	"12"	"2016"	"2016"	2208	20612439	10.7
	"Florida"	"12"	"2017"	"2017"	2557	20984400	12.2
	"Florida"	"12"	"2018"	"2018"	2318	21299325	10.9
	"Georgia"	"13"	"1999"	"1999"	99	8045965	1.2
	"Georgia"	"13"	"2000"	"2000"	123	8186453	1.5
	"Georgia"	"13"	"2001"	"2001"	177	8377038	2.1
	"Georgia"	"13"	"2002"	"2002"	204	8508256	2.4
	"Georgia"	"13"	"2003"	"2003"	240	8622793	2.8
	"Georgia"	"13"	"2004"	"2004"	264	8769252	3.0
	"Georgia"	"13"	"2005"	"2005"	289	8925922	3.2
	"Georgia"	"13"	"2006"	"2006"	295	9155813	3.2
	"Georgia"	"13"	"2007"	"2007"	387	9349988	4.1
	"Georgia"	"13"	"2008"	"2008"	310	9504843	3.3
	"Georgia"	"13"	"2009"	"2009"	321	9620846	3.3
	"Georgia"	"13"	"2010"	"2010"	304	9687653	3.1
	"Georgia"	"13"	"2011"	"2011"	321	9815210	3.3
	"Georgia"	"13"	"2012"	"2012"	329	9919945	3.3
	"Georgia"	"13"	"2013"	"2013"	286	9992167	2.9
	"Georgia"	"13"	"2014"	"2014"	438	10097343	4.3
	"Georgia"	"13"	"2015"	"2015"	496	10214860	4.9
	"Georgia"	"13"	"2016"	"2016"	531	10310371	5.2
	"Georgia"	"13"	"2017"	"2017"	544	10429379	5.2
	"Georgia"	"13"	"2018"	"2018"	471	10519475	4.5
	"Hawaii"	"15"	"1999"	"1999"	18	1210300	Unreliable
	"Hawaii"	"15"	"2000"	"2000"	11	1211537	Unreliable
	"Hawaii"	"15"	"2001"	"2001"	16	1225948	Unreliable
	"Hawaii"	"15"	"2002"	"2002"	20	1239613	1.6
	"Hawaii"	"15"	"2003"	"2003"	21	1251154	1.7
	"Hawaii"	"15"	"2004"	"2004"	31	1273569	2.4
	"Hawaii"	"15"	"2005"	"2005"	26	1292729	2.0
	"Hawaii"	"15"	"2006"	"2006"	24	1309731	1.8
	"Hawaii"	"15"	"2007"	"2007"	42	1315675	3.2
	"Hawaii"	"15"	"2008"	"2008"	23	1332213	1.7
	"Hawaii"	"15"	"2009"	"2009"	30	1346717	2.2
	"Hawaii"	"15"	"2010"	"2010"	36	1360301	2.6
	"Hawaii"	"15"	"2011"	"2011"	34	1374810	2.5
	"Hawaii"	"15"	"2012"	"2012"	26	1392313	1.9
	"Hawaii"	"15"	"2013"	"2013"	30	1404054	2.1
	"Hawaii"	"15"	"2014"	"2014"	25	1419561	1.8
	"Hawaii"	"15"	"2015"	"2015"	26	1431603	1.8
	"Hawaii"	"15"	"2016"	"2016"	32	1428557	2.2
	"Hawaii"	"15"	"2017"	"2017"	25	1427538	1.8
	"Hawaii"	"15"	"2018"	"2018"	22	1420491	1.5
	"Idaho"	"16"	"1999"	"1999"	17	1275674	Unreliable
	"Idaho"	"16"	"2000"	"2000"	15	1293953	Unreliable
	"Idaho"	"16"	"2001"	"2001"	28	1319962	2.1
	"Idaho"	"16"	"2002"	"2002"	22	1340372	1.6
	"Idaho"	"16"	"2003"	"2003"	27	1363380	2.0
	"Idaho"	"16"	"2004"	"2004"	25	1391802	1.8
	"Idaho"	"16"	"2005"	"2005"	19	1428241	Unreliable
	"Idaho"	"16"	"2006"	"2006"	35	1468669	2.4
	"Idaho"	"16"	"2007"	"2007"	29	1505105	1.9
	"Idaho"	"16"	"2008"	"2008"	28	1534320	1.8
	"Idaho"	"16"	"2009"	"2009"	18	1554439	Unreliable
	"Idaho"	"16"	"2010"	"2010"	26	1567582	1.7
	"Idaho"	"16"	"2011"	"2011"	29	1584985	1.8
	"Idaho"	"16"	"2012"	"2012"	26	1595728	1.6
	"Idaho"	"16"	"2013"	"2013"	31	1612136	1.9
	"Idaho"	"16"	"2014"	"2014"	30	1634464	1.8
	"Idaho"	"16"	"2015"	"2015"	40	1654930	2.4
	"Idaho"	"16"	"2016"	"2016"	55	1683140	3.3
	"Idaho"	"16"	"2017"	"2017"	45	1716943	2.6
	"Idaho"	"16"	"2018"	"2018"	51	1754208	2.9
	"Illinois"	"17"	"1999"	"1999"	567	12359020	4.6
	"Illinois"	"17"	"2000"	"2000"	612	12419293	4.9
	"Illinois"	"17"	"2001"	"2001"	518	12488445	4.1
	"Illinois"	"17"	"2002"	"2002"	634	12525556	5.1
	"Illinois"	"17"	"2003"	"2003"	552	12556006	4.4
	"Illinois"	"17"	"2004"	"2004"	664	12589773	5.3
	"Illinois"	"17"	"2005"	"2005"	732	12609903	5.8
	"Illinois"	"17"	"2006"	"2006"	1005	12643955	7.9
	"Illinois"	"17"	"2007"	"2007"	774	12695866	6.1
	"Illinois"	"17"	"2008"	"2008"	867	12747038	6.8
	"Illinois"	"17"	"2009"	"2009"	849	12796778	6.6
	"Illinois"	"17"	"2010"	"2010"	796	12830632	6.2
	"Illinois"	"17"	"2011"	"2011"	857	12869257	6.7
	"Illinois"	"17"	"2012"	"2012"	1052	12875255	8.2
	"Illinois"	"17"	"2013"	"2013"	956	12882135	7.4
	"Illinois"	"17"	"2014"	"2014"	977	12880580	7.6
	"Illinois"	"17"	"2015"	"2015"	1130	12859995	8.8
	"Illinois"	"17"	"2016"	"2016"	1482	12801539	11.6
	"Illinois"	"17"	"2017"	"2017"	1486	12802023	11.6
	"Illinois"	"17"	"2018"	"2018"	1466	12741080	11.5
	"Indiana"	"18"	"1999"	"1999"	36	6044969	0.6
	"Indiana"	"18"	"2000"	"2000"	29	6080485	0.5
	"Indiana"	"18"	"2001"	"2001"	41	6127760	0.7
	"Indiana"	"18"	"2002"	"2002"	31	6155967	0.5
	"Indiana"	"18"	"2003"	"2003"	88	6196638	1.4
	"Indiana"	"18"	"2004"	"2004"	96	6233007	1.5
	"Indiana"	"18"	"2005"	"2005"	118	6278616	1.9
	"Indiana"	"18"	"2006"	"2006"	117	6332669	1.8
	"Indiana"	"18"	"2007"	"2007"	157	6379599	2.5
	"Indiana"	"18"	"2008"	"2008"	156	6424806	2.4
	"Indiana"	"18"	"2009"	"2009"	178	6459325	2.8
	"Indiana"	"18"	"2010"	"2010"	173	6483802	2.7
	"Indiana"	"18"	"2011"	"2011"	207	6516922	3.2
	"Indiana"	"18"	"2012"	"2012"	232	6537334	3.5
	"Indiana"	"18"	"2013"	"2013"	254	6570902	3.9
	"Indiana"	"18"	"2014"	"2014"	291	6596855	4.4
	"Indiana"	"18"	"2015"	"2015"	346	6619680	5.2
	"Indiana"	"18"	"2016"	"2016"	488	6633053	7.4
	"Indiana"	"18"	"2017"	"2017"	655	6666818	9.8
	"Indiana"	"18"	"2018"	"2018"	521	6691878	7.8
	"Iowa"	"19"	"1999"	"1999"	Suppressed	2917634	Suppressed
	"Iowa"	"19"	"2000"	"2000"	18	2926324	Unreliable
	"Iowa"	"19"	"2001"	"2001"	11	2931997	Unreliable
	"Iowa"	"19"	"2002"	"2002"	26	2934234	0.9
	"Iowa"	"19"	"2003"	"2003"	19	2941999	Unreliable
	"Iowa"	"19"	"2004"	"2004"	30	2953635	1.0
	"Iowa"	"19"	"2005"	"2005"	36	2964454	1.2
	"Iowa"	"19"	"2006"	"2006"	44	2982644	1.5
	"Iowa"	"19"	"2007"	"2007"	43	2999212	1.4
	"Iowa"	"19"	"2008"	"2008"	47	3016734	1.6
	"Iowa"	"19"	"2009"	"2009"	64	3032870	2.1
	"Iowa"	"19"	"2010"	"2010"	58	3046355	1.9
	"Iowa"	"19"	"2011"	"2011"	70	3062309	2.3
	"Iowa"	"19"	"2012"	"2012"	71	3074186	2.3
	"Iowa"	"19"	"2013"	"2013"	67	3090416	2.2
	"Iowa"	"19"	"2014"	"2014"	55	3107126	1.8
	"Iowa"	"19"	"2015"	"2015"	73	3123899	2.3
	"Iowa"	"19"	"2016"	"2016"	68	3134693	2.2
	"Iowa"	"19"	"2017"	"2017"	79	3145711	2.5
	"Iowa"	"19"	"2018"	"2018"	55	3156145	1.7
	"Kansas"	"20"	"1999"	"1999"	23	2678338	0.9
	"Kansas"	"20"	"2000"	"2000"	28	2688418	1.0
	"Kansas"	"20"	"2001"	"2001"	34	2702162	1.3
	"Kansas"	"20"	"2002"	"2002"	46	2713535	1.7
	"Kansas"	"20"	"2003"	"2003"	59	2723004	2.2
	"Kansas"	"20"	"2004"	"2004"	65	2734373	2.4
	"Kansas"	"20"	"2005"	"2005"	68	2745299	2.5
	"Kansas"	"20"	"2006"	"2006"	74	2762931	2.7
	"Kansas"	"20"	"2007"	"2007"	71	2783785	2.6
	"Kansas"	"20"	"2008"	"2008"	68	2808076	2.4
	"Kansas"	"20"	"2009"	"2009"	91	2832704	3.2
	"Kansas"	"20"	"2010"	"2010"	71	2853118	2.5
	"Kansas"	"20"	"2011"	"2011"	66	2871238	2.3
	"Kansas"	"20"	"2012"	"2012"	108	2885905	3.7
	"Kansas"	"20"	"2013"	"2013"	99	2893957	3.4
	"Kansas"	"20"	"2014"	"2014"	95	2904021	3.3
	"Kansas"	"20"	"2015"	"2015"	85	2911641	2.9
	"Kansas"	"20"	"2016"	"2016"	68	2907289	2.3
	"Kansas"	"20"	"2017"	"2017"	77	2913123	2.6
	"Kansas"	"20"	"2018"	"2018"	94	2911505	3.2
	"Kentucky"	"21"	"1999"	"1999"	35	4018053	0.9
	"Kentucky"	"21"	"2000"	"2000"	59	4041769	1.5
	"Kentucky"	"21"	"2001"	"2001"	77	4068132	1.9
	"Kentucky"	"21"	"2002"	"2002"	97	4089875	2.4
	"Kentucky"	"21"	"2003"	"2003"	147	4117170	3.6
	"Kentucky"	"21"	"2004"	"2004"	131	4146101	3.2
	"Kentucky"	"21"	"2005"	"2005"	174	4182742	4.2
	"Kentucky"	"21"	"2006"	"2006"	189	4219239	4.5
	"Kentucky"	"21"	"2007"	"2007"	177	4256672	4.2
	"Kentucky"	"21"	"2008"	"2008"	166	4289878	3.9
	"Kentucky"	"21"	"2009"	"2009"	135	4317074	3.1
	"Kentucky"	"21"	"2010"	"2010"	189	4339367	4.4
	"Kentucky"	"21"	"2011"	"2011"	195	4369356	4.5
	"Kentucky"	"21"	"2012"	"2012"	280	4380415	6.4
	"Kentucky"	"21"	"2013"	"2013"	303	4395295	6.9
	"Kentucky"	"21"	"2014"	"2014"	349	4413457	7.9
	"Kentucky"	"21"	"2015"	"2015"	428	4425092	9.7
	"Kentucky"	"21"	"2016"	"2016"	435	4436974	9.8
	"Kentucky"	"21"	"2017"	"2017"	523	4454189	11.7
	"Kentucky"	"21"	"2018"	"2018"	472	4468402	10.6
	"Louisiana"	"22"	"1999"	"1999"	40	4460811	0.9
	"Louisiana"	"22"	"2000"	"2000"	61	4468976	1.4
	"Louisiana"	"22"	"2001"	"2001"	76	4477875	1.7
	"Louisiana"	"22"	"2002"	"2002"	84	4497267	1.9
	"Louisiana"	"22"	"2003"	"2003"	119	4521042	2.6
	"Louisiana"	"22"	"2004"	"2004"	107	4552238	2.4
	"Louisiana"	"22"	"2005"	"2005"	147	4576628	3.2
	"Louisiana"	"22"	"2006"	"2006"	180	4302665	4.2
	"Louisiana"	"22"	"2007"	"2007"	189	4375581	4.3
	"Louisiana"	"22"	"2008"	"2008"	116	4435586	2.6
	"Louisiana"	"22"	"2009"	"2009"	104	4491648	2.3
	"Louisiana"	"22"	"2010"	"2010"	88	4533372	1.9
	"Louisiana"	"22"	"2011"	"2011"	87	4574836	1.9
	"Louisiana"	"22"	"2012"	"2012"	120	4601893	2.6
	"Louisiana"	"22"	"2013"	"2013"	215	4625470	4.6
	"Louisiana"	"22"	"2014"	"2014"	194	4649676	4.2
	"Louisiana"	"22"	"2015"	"2015"	213	4670724	4.6
	"Louisiana"	"22"	"2016"	"2016"	283	4681666	6.0
	"Louisiana"	"22"	"2017"	"2017"	308	4684333	6.6
	"Louisiana"	"22"	"2018"	"2018"	300	4659978	6.4
	"Maine"	"23"	"1999"	"1999"	18	1266808	Unreliable
	"Maine"	"23"	"2000"	"2000"	28	1274923	2.2
	"Maine"	"23"	"2001"	"2001"	33	1285692	2.6
	"Maine"	"23"	"2002"	"2002"	67	1295960	5.2
	"Maine"	"23"	"2003"	"2003"	64	1306513	4.9
	"Maine"	"23"	"2004"	"2004"	79	1313688	6.0
	"Maine"	"23"	"2005"	"2005"	96	1318787	7.3
	"Maine"	"23"	"2006"	"2006"	81	1323619	6.1
	"Maine"	"23"	"2007"	"2007"	65	1327040	4.9
	"Maine"	"23"	"2008"	"2008"	53	1330509	4.0
	"Maine"	"23"	"2009"	"2009"	38	1329590	2.9
	"Maine"	"23"	"2010"	"2010"	47	1328361	3.5
	"Maine"	"23"	"2011"	"2011"	55	1328188	4.1
	"Maine"	"23"	"2012"	"2012"	50	1329192	3.8
	"Maine"	"23"	"2013"	"2013"	48	1328302	3.6
	"Maine"	"23"	"2014"	"2014"	74	1330089	5.6
	"Maine"	"23"	"2015"	"2015"	122	1329328	9.2
	"Maine"	"23"	"2016"	"2016"	148	1331479	11.1
	"Maine"	"23"	"2017"	"2017"	204	1335907	15.3
	"Maine"	"23"	"2018"	"2018"	170	1338404	12.7
	"Maryland"	"24"	"1999"	"1999"	19	5254509	Unreliable
	"Maryland"	"24"	"2000"	"2000"	27	5296486	0.5
	"Maryland"	"24"	"2001"	"2001"	20	5374691	0.4
	"Maryland"	"24"	"2002"	"2002"	22	5440389	0.4
	"Maryland"	"24"	"2003"	"2003"	32	5496269	0.6
	"Maryland"	"24"	"2004"	"2004"	20	5546935	0.4
	"Maryland"	"24"	"2005"	"2005"	24	5592379	0.4
	"Maryland"	"24"	"2006"	"2006"	27	5627367	0.5
	"Maryland"	"24"	"2007"	"2007"	19	5653408	Unreliable
	"Maryland"	"24"	"2008"	"2008"	26	5684965	0.5
	"Maryland"	"24"	"2009"	"2009"	37	5730388	0.6
	"Maryland"	"24"	"2010"	"2010"	40	5773552	0.7
	"Maryland"	"24"	"2011"	"2011"	64	5828289	1.1
	"Maryland"	"24"	"2012"	"2012"	111	5884563	1.9
	"Maryland"	"24"	"2013"	"2013"	149	5928814	2.5
	"Maryland"	"24"	"2014"	"2014"	127	5976407	2.1
	"Maryland"	"24"	"2015"	"2015"	198	6006401	3.3
	"Maryland"	"24"	"2016"	"2016"	365	6016447	6.1
	"Maryland"	"24"	"2017"	"2017"	413	6052177	6.8
	"Maryland"	"24"	"2018"	"2018"	405	6042718	6.7
	"Massachusetts"	"25"	"1999"	"1999"	24	6317345	0.4
	"Massachusetts"	"25"	"2000"	"2000"	28	6349097	0.4
	"Massachusetts"	"25"	"2001"	"2001"	31	6397634	0.5
	"Massachusetts"	"25"	"2002"	"2002"	30	6417206	0.5
	"Massachusetts"	"25"	"2003"	"2003"	43	6422565	0.7
	"Massachusetts"	"25"	"2004"	"2004"	54	6412281	0.8
	"Massachusetts"	"25"	"2005"	"2005"	555	6403290	8.7
	"Massachusetts"	"25"	"2006"	"2006"	620	6410084	9.7
	"Massachusetts"	"25"	"2007"	"2007"	531	6431559	8.3
	"Massachusetts"	"25"	"2008"	"2008"	475	6468967	7.3
	"Massachusetts"	"25"	"2009"	"2009"	493	6517613	7.6
